name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,doornumber
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,two
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,two
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,four
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,two
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,two
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,two
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,four
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,four
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,four
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,two
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,four
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24,two
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,two
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,two
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,two
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,two
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,two
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,four
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,four
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33,two
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33,two
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33,four
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33,four
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28,four
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31,two
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,four
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,two
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,four
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,two
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,four
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,four
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,two
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31,two
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38,two
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38,two
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38,four
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38,four
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,two
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,two
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,two
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,two
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,two
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,four
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,two
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,four
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42,four
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32,four
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27,four
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,31,39,four
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25,four
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,four
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,two
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,four
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,four
Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,two
Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,14,16,four
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,14,16,two
Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,19,24,two
Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,two
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,two
Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38,two
Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,two
Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,two
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,two
Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,19,24,two
Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,19,24,two
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,19,24,two
Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,four
Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,four
Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,four
Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,four
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37,two
Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,two
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37,two
Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37,four
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,four
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37,two
Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,two
Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37,four
Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,four
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,two
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,four
Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34,four
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,17,22,four
BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,17,22,four
Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,19,25,four
Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,19,25,two
BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,two
Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,19,25,two
Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,four
Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,28,33,four
Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,four
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,25,25,four
Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,four
Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,four
Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24,four
Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,25,25,four
Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24,four
Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33,four
Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,18,24,four
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,two
Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,two
Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,four
Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38,four
Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38,four
Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,four
Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,19,24,two
Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27,two
Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,two
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,two
Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,two
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,17,28,two
Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,four
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31,two
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,two
Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,four
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,two
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28,four
Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,19,26,two
Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,19,26,four
Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,31,36,two
Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,two
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,two
Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,four
Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33,four
Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,26,32,four
Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,24,25,four
Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29,four
Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,28,32,four
Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,25,31,four
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,23,29,four
Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,four
Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,35,39,two
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,31,38,two
Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,31,38,four
Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,31,37,four
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,27,32,four
Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,4800,27,32,four
